Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Adam Milne,,,,,,,,
2018,Aditya Tare,,,,,,,,
2018,Akila Dananjaya,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
2018,Anukul Roy,,,,,,,,
2018,Apoorv Wankhade,,,,,,,,
2018,Ben Cutting,89.0,9.0,2.0,24.0,5.0,8.0,7.0,0.0
2018,Evin Lewis,171.5,13.0,0.0,0.0,32.0,24.0,3.0,0.0
2018,Hardik Pandya,269.5,13.0,18.0,98.0,20.0,11.0,8.0,0.0
2018,Ishan Kishan,142.0,14.0,0.0,0.0,22.0,17.0,9.0,2.0
2018,JP Duminy,22.0,6.0,0.0,6.0,3.0,1.0,2.0,0.0
2018,Jason Behrendorff,,,,,,,,
2018,Jasprit Bumrah,205.0,14.0,17.0,133.0,1.0,0.0,4.0,0.0
2018,Kieron Pollard,59.5,9.0,0.0,0.0,10.0,7.0,4.0,0.0
2018,Krunal Pandya,239.5,14.0,12.0,85.0,22.0,10.0,9.0,0.0
2018,M. D. Nidheesh,,,,,,,,
2018,Mayank Markande,152.0,14.0,15.0,87.0,2.0,0.0,3.0,0.0
2018,Mitchell McClenaghan,158.0,11.0,14.0,103.0,1.0,1.0,0.0,0.0
2018,Mohsin Khan,,,,,,,,
2018,Mustafizur Rahman,88.5,7.0,7.0,59.0,0.0,0.0,2.0,0.0
2018,Pat Cummins,,,,,,,,
2018,Pradeep Sangwan,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2018,Rahul Chahar,,,,,,,,
2018,Rohit Sharma,124.5,14.0,0.0,0.0,25.0,12.0,8.0,0.0
2018,Saurabh Tiwary,,,,,,,,
2018,Sharad Lumba,,,,,,,,
2018,Siddhesh Lad,,,,,,,,
2018,Suryakumar Yadav,228.5,14.0,0.0,0.0,61.0,16.0,8.0,0.0
2018,Tajinder Singh,,,,,,,,
