Season,Kings XI Punjab
2014,Lakshmipathy Balaji
2014,Virender Sehwag
2014,Cheteshwar Pujara
2014,Mashrafe Mortaza
2014,Murali Kartik
2014,Wriddhiman Saha
2014,Rishi Dhawan
2014,Shaun Marsh
2014,George Bailey
2014,Harmeet Singh
2014,Anureet Singh
2014,Thisara Perera
2014,Mandeep Singh
2014,David Miller
2014,Manan Vohra
2014,Glenn Maxwell
2014,Gurkeerat Singh
2014,Parvinder Awana
2014,Mitchell Johnson
2014,Sandeep Sharma
2014,Axar Patel
2014,Beuran Hendricks
2014,Karanveer Singh
2014,Shardul Thakur
2014,Shivam Sharma
