POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Glenn Maxwell,286,16,1,14,48,36,9,0
2,Dwayne Smith,285.5,16,4,15,50,34,5,0
3,Robin Uthappa,268,16,0,0,74,18,1,7
4,Suresh Raina,259,16,1,34,51,19,11,0
5,Axar Patel,252.5,17,17,157,6,1,7,0
6,Shakib Al Hasan,238.5,13,11,113,22,7,3,0
7,Sunil Narine,235.5,16,21,157,0,0,2,0
8,Bhuvneshwar Kumar,227,14,20,152,0,0,2,0
9,Mitchell Johnson,225,14,17,135,4,3,4,0
10,Mitchell Starc,221,14,14,127,9,0,9,0
11,Ravindra Jadeja,218.5,16,19,102,9,5,4,0
12,Virender Sehwag,215.5,17,0,0,56,18,5,0
13,Yuvraj Singh,213.5,14,5,33,22,28,4,0
14,Harbhajan Singh,206.5,14,14,138,2,2,3,0
15,Mohit Sharma,206,16,23,118,0,0,3,0
16,Morne Morkel,205,12,12,148,0,0,6,0
17,Dale Steyn,203.5,14,11,145,1,0,7,0
18,David Warner,201.5,14,0,0,39,24,8,0
19,JP Duminy,200.5,14,3,60,22,20,2,0
20,Ravichandran Ashwin,198.5,16,16,130,4,0,1,0
21,David Miller,193.5,16,0,0,34,21,14,0
22,James Faulkner,191.5,13,11,72,8,16,2,0
23,Shane Watson,185.5,13,7,57,19,14,3,0
24,Karn Sharma,179.5,14,15,114,1,3,0,0
25,Wriddhiman Saha,175.5,17,0,0,33,18,8,4
26,Sandeep Sharma,174.5,11,18,109,0,0,1,0
27,Lendl Simmons,167,8,1,2,43,14,2,0
28,Corey Anderson,166.5,12,4,35,21,15,5,0
29,AB de Villiers,166.5,14,0,0,26,24,7,0
30,Yuzvendra Chahal,164.5,14,12,115,0,0,3,0
31,Brendon McCullum,161.5,14,0,0,32,19,6,0
32,Rishi Dhawan,161.5,13,13,85,8,1,3,0
33,Shikhar Dhawan,159.5,14,0,0,49,7,5,0
34,Lasith Malinga,155,10,16,99,0,0,0,0
35,Varun Aaron,154.5,10,16,90,2,1,0,0
36,Rohit Sharma,153.5,15,1,4,31,16,5,0
37,Piyush Chawla,149,11,14,79,4,1,3,0
38,Kieron Pollard,147.5,15,2,33,15,15,7,0
39,Pravin Tambe,146.5,13,15,89,0,0,2,0
40,Ishwar Pandey,143,13,6,112,0,0,4,0
41,Sanju Samson,139.5,13,0,0,25,17,5,2
42,Umesh Yadav,138.5,12,11,95,0,0,2,0
43,Karun Nair,136.5,11,0,0,38,9,4,0
44,MS Dhoni,135,16,0,0,22,20,3,1
45,Dinesh Karthik,131,14,0,0,28,11,7,2
46,Manan Vohra,131,8,0,0,27,16,3,0
47,Rajat Bhatia,131,12,12,56,4,3,5,0
48,Virat Kohli,131,14,0,0,23,16,7,0
49,Manish Pandey,130,16,0,0,35,10,3,0
50,Mohammed Shami,126.5,12,7,102,0,0,0,0
51,Aaron Finch,124,13,0,0,31,9,6,0
52,Faf du Plessis,122,15,0,0,26,7,13,0
53,Yusuf Pathan,121,15,0,1,15,20,5,0
54,Ambati Rayudu,120.5,15,0,0,31,8,6,0
55,Ajinkya Rahane,120.5,13,0,0,38,3,6,0
56,Kevin Pietersen,114.5,11,0,0,34,7,2,0
57,Lakshmipathy Balaji,114,9,12,72,0,0,0,0
58,Naman Ojha,112,11,0,0,14,17,6,1
59,Gautam Gambhir,111.5,16,0,0,36,4,3,0
60,Jasprit Bumrah,109.5,11,5,92,0,0,0,0
61,Parthiv Patel,108.5,12,0,0,30,1,11,1
62,Wayne Parnell,108,8,6,82,0,0,2,0
63,Dhawal Kulkarni,105.5,8,6,70,1,2,2,0
64,Jacques Kallis,104.5,8,4,39,13,4,2,0
65,George Bailey,102.5,17,0,0,19,10,8,0
66,Kane Richardson,101,7,9,62,0,0,3,0
67,Ben Hilfenhaus,100.5,8,8,70,0,0,1,0
68,Shahbaz Nadeem,94,11,8,66,0,0,0,0
69,Chris Gayle,92,9,0,0,18,12,2,0
70,Jaydev Unadkat,90.5,9,9,59,0,0,0,0
71,Amit Mishra,90.5,10,7,66,0,0,0,0
72,Murali Vijay,89.5,11,0,2,20,5,8,0
73,Karanveer Singh,83,5,11,42,0,0,1,0
74,Vinay Kumar,83,9,7,56,0,0,1,0
75,Ashok Dinda,81.5,9,5,64,0,0,0,0
76,Darren Sammy,81,10,3,20,4,8,5,0
77,Suryakumar Yadav,77,16,0,2,16,5,7,0
78,Zaheer Khan,77,6,5,56,0,1,0,0
79,Imran Tahir,74.5,6,9,38,2,0,0,0
80,Michael Hussey,74.5,9,0,0,17,7,3,0
81,Parvinder Awana,72.5,7,7,48,0,0,0,0
82,Irfan Pathan,72.5,10,4,41,5,0,2,0
83,Albie Morkel,72,7,4,40,1,3,2,0
84,Steve Smith,69,10,0,0,13,4,9,0
85,Kevon Cooper,68.5,5,4,34,2,3,2,0
