POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Sunil Narine,379.5,16,17,137,40,23,1,0
2,Shane Watson,318,15,6,57,44,35,3,0
3,Rishabh Pant,314.5,14,0,0,68,37,4,2
4,Lokesh Rahul,304.5,14,0,0,66,32,10,1
5,Andre Russell,292.5,16,13,76,17,31,8,0
6,Rashid Khan,284,17,21,167,3,6,6,0
7,Kane Williamson,273,17,0,0,64,28,6,0
8,Hardik Pandya,269.5,13,18,98,20,11,8,0
9,Ambati Rayudu,256.5,16,0,0,53,34,2,0
10,Krunal Pandya,239.5,14,12,85,22,10,9,0
11,Shakib Al Hasan,237,17,14,98,26,5,3,0
12,Suryakumar Yadav,228.5,14,0,0,61,16,8,0
13,Jos Buttler,228.5,13,0,0,52,21,9,1
14,Shikhar Dhawan,226.5,16,0,0,59,14,12,0
15,Dinesh Karthik,223.5,16,0,0,49,16,14,4
16,Umesh Yadav,223,14,20,148,0,0,2,0
17,Andrew Tye,221,14,24,116,2,1,5,0
18,AB de Villiers,217.5,12,0,0,39,30,6,0
19,Dwayne Bravo,216.5,16,14,90,8,10,9,0
20,Virat Kohli,213,14,0,0,52,18,8,0
21,Chris Lynn,210.5,16,0,0,56,18,3,0
22,Siddarth Kaul,209.5,17,21,131,0,0,2,0
23,Krishnappa Gowtham,207.5,15,11,90,9,9,10,0
24,Jasprit Bumrah,205,14,17,133,1,0,4,0
25,Trent Boult,203.5,14,18,118,0,0,9,0
26,MS Dhoni,200,16,0,0,24,30,11,3
27,Shardul Thakur,186.5,13,16,113,3,0,4,0
28,Suresh Raina,179.5,15,0,0,46,12,9,0
29,Piyush Chawla,175,15,14,110,1,1,4,0
30,Yuzvendra Chahal,175,14,12,128,0,0,2,0
31,Chris Gayle,174.5,11,0,0,30,27,2,0
32,Ben Stokes,173.5,13,8,77,13,6,6,0
33,Evin Lewis,171.5,13,0,0,32,24,3,0
34,Deepak Chahar,171,12,10,117,1,4,1,0
35,Kuldeep Yadav,171,16,17,94,1,0,6,0
36,Ravindra Jadeja,169.5,16,11,82,3,4,11,0
37,Jaydev Unadkat,169,15,11,97,6,1,6,0
38,Bhuvneshwar Kumar,163,12,9,124,1,0,2,0
39,Sandeep Sharma,163,12,12,116,0,0,2,0
40,Robin Uthappa,161,16,0,0,30,21,5,0
41,Ravichandran Ashwin,159.5,14,10,77,7,5,5,0
42,Shreyas Iyer,158.5,14,0,0,29,21,5,0
43,Mitchell McClenaghan,158,11,14,103,1,1,0,0
44,Jofra Archer,158,10,15,98,2,0,1,0
45,Sanju Samson,154,15,0,0,30,19,5,0
46,Mayank Markande,152,14,15,87,2,0,3,0
47,Nitish Rana,150,15,4,17,26,14,2,0
48,Mujeeb Ur Rahman,149.5,11,14,93,2,0,1,0
49,Mohammed Siraj,149.5,11,11,90,2,1,5,0
50,Ishan Kishan,142,14,0,0,22,17,9,2
51,Shreyas Gopal,126.5,11,11,68,5,0,3,0
52,Glenn Maxwell,126,12,5,32,14,9,4,0
53,Ankit Rajpoot,126,8,11,80,1,0,2,0
54,Karun Nair,125.5,13,0,0,23,13,9,0
55,Ajinkya Rahane,125,15,0,0,39,5,4,0
56,Rohit Sharma,124.5,14,0,0,25,12,8,0
57,Lungi Ngidi,120,7,11,79,0,0,1,0
58,Amit Mishra,116,10,12,74,0,0,0,0
59,Harbhajan Singh,113.5,13,7,68,3,1,4,0
60,Prithvi Shaw,112.5,9,0,0,27,10,4,0
61,Yusuf Pathan,106.5,15,1,2,22,11,3,0
62,Quinton de Kock,103,8,0,0,20,8,7,3
63,Tim Southee,100,8,5,59,5,1,3,0
64,Prasidh Krishna,97.5,7,10,60,0,0,1,0
65,Manish Pandey,95,15,0,0,22,5,9,0
66,Vijay Shankar,92.5,13,1,8,11,11,6,0
67,Shivam Mavi,91.5,9,5,64,1,0,3,0
68,Ben Cutting,89,9,2,24,5,8,7,0
69,Mustafizur Rahman,88.5,7,7,59,0,0,2,0
70,Mandeep Singh,88.5,14,0,0,16,11,4,0
71,Colin de Grandhomme,85.5,9,2,26,4,10,3,0
72,Harshal Patel,84,5,7,36,1,6,0,0
73,Chris Woakes,83.5,5,8,47,1,1,1,0
74,Rahul Tewatia,83,8,6,41,5,1,2,0
75,Rahul Tripathi,83,12,0,0,18,8,4,0
76,Mohit Sharma,82,9,7,50,1,0,2,0
77,Shubman Gill,80,13,0,0,22,5,3,0
78,Axar Patel,78,9,3,41,3,4,2,0
79,Carlos Brathwaite,76,4,5,23,1,8,2,0
80,Moeen Ali,73.5,5,3,27,4,6,2,0
81,Parthiv Patel,71.5,6,0,0,20,4,3,0
82,Dhawal Kulkarni,70.5,8,4,54,0,0,1,0
83,Washington Sundar,69.5,7,4,29,5,4,0,0
84,Ish Sodhi,68.5,6,5,51,0,0,0,0
85,Ben Laughlin,68,7,9,34,0,0,1,0
86,Billy Stanlake,67,4,5,47,1,0,0,0
87,Faf du Plessis,66,6,0,0,17,6,1,0
88,Imran Tahir,66,6,6,40,0,0,2,0
89,Barinder Sran,66,6,4,47,0,0,2,0
90,Avesh Khan,65.5,6,4,44,0,0,3,0
91,Brendon McCullum,63.5,6,0,0,16,6,1,0
92,Mitchell Johnson,63,6,2,46,2,0,2,0
93,D'Arcy Short,61.5,7,1,8,11,5,2,0
94,Chris Morris,61,4,3,31,3,2,2,0
95,Liam Plunkett,61,7,4,42,0,0,2,0
96,Wriddhiman Saha,61,11,0,0,17,1,5,1
97,Marcus Stoinis,59.5,7,3,15,6,4,2,0
98,Kieron Pollard,59.5,9,0,0,10,7,4,0
99,Alex Hales,58.5,6,0,0,13,6,2,0
100,Jason Roy,57,5,0,0,9,7,4,0
101,Aaron Finch,53,10,0,0,6,8,4,0
102,Sam Billings,50,10,0,0,8,5,5,0
103,Sandeep Lamichhane,47.5,3,5,30,0,0,0,0
104,Mohammed Shami,46,4,3,28,1,0,2,0
105,Tom Curran,46,5,6,15,3,0,1,0
106,Mayank Agarwal,45,11,0,0,9,5,2,0
107,Dan Christian,39.5,4,4,22,0,1,0,0
108,Basil Thampi,39.5,4,5,17,0,0,2,0
109,Karn Sharma,37.5,6,4,16,0,0,3,0
110,Colin Munro,36.5,5,0,0,7,4,2,0
111,Shahbaz Nadeem,34,6,3,21,0,0,1,0
112,Heinrich Klaasen,33.5,4,0,0,5,1,3,4
113,David Willey,32,3,2,20,0,0,2,0
114,Shreevats Goswami,31,6,0,0,6,1,5,0
115,Murugan Ashwin,30.5,2,3,20,0,0,0,0
116,Corey Anderson,30,3,3,16,0,1,0,0
117,Deepak Hooda,29,9,0,6,2,3,3,0
118,Abhishek Sharma,27.5,3,0,0,3,5,1,0
119,Javon Searles,27.5,4,2,7,0,1,4,0
120,KM Asif,26.5,2,3,16,0,0,0,0
121,Gautam Gambhir,26,6,0,0,8,1,1,0
122,Sarfaraz Khan,26,7,0,0,7,1,2,0
123,Kulwant Khejroliya,25,3,2,18,0,0,0,0
124,Yuvraj Singh,24.5,8,0,0,6,2,1,0
125,Manoj Tiwary,23.5,5,0,0,4,1,4,0
126,Mohammad Nabi,23,2,1,12,3,0,0,0
127,Vinay Kumar,22.5,2,2,8,1,0,2,0
128,JP Duminy,22,6,0,6,3,1,2,0
129,Rinku Singh,20,4,0,0,4,0,4,0
130,Manan Vohra,19,4,0,0,2,4,0,0
131,Stuart Binny,16.5,7,0,2,2,2,1,0
132,David Miller,14.5,3,0,0,3,2,0,0
133,Pawan Negi,12.5,2,1,9,0,0,0,0
134,Chris Jordan,11,1,0,11,0,0,0,0
