Season,Mumbai Indians
2018,Rohit Sharma
2018,Pradeep Sangwan
2018,Saurabh Tiwary
2018,JP Duminy
2018,Aditya Tare
2018,Kieron Pollard
2018,Suryakumar Yadav
2018,Ben Cutting
2018,Apoorv Wankhade
2018,Akila Dananjaya
2018,Jasprit Bumrah
2018,Pat Cummins
2018,Hardik Pandya
2018,Mitchell McClenaghan
2018,Siddhesh Lad
2018,Adam Milne
2018,Ishan Kishan
2018,Krunal Pandya
2018,Mustafizur Rahman
2018,Rahul Chahar
2018,Anukul Roy
2018,Evin Lewis
2018,Jason Behrendorff
2018,M. D. Nidheesh
2018,Mayank Markande
2018,Mohsin Khan
2018,Sharad Lumba
2018,Tajinder Singh
