Season,Delhi Daredevils
2018,Amit Mishra
2018,Gautam Gambhir
2018,Naman Ojha
2018,Daniel Christian
2018,Shahbaz Nadeem
2018,Mohammed Shami
2018,Glenn Maxwell
2018,Gurkeerat Singh
2018,Harshal Patel
2018,Chris Morris
2018,Vijay Shankar
2018,Jayant Yadav
2018,Rahul Tewatia
2018,Shreyas Iyer
2018,Colin Munro
2018,Trent Boult
2018,Rishabh Pant
2018,Kagiso Rabada
2018,Jason Roy
2018,Sayan Ghosh
2018,Avesh Khan
2018,Abhishek Sharma
2018,Junior Dala
2018,Liam Plunkett
2018,Manjot Kalra
2018,Prithvi Shaw
2018,Sandeep Lamichhane
