Season,Royal Challengers Bangalore
2019,Parthiv Patel
2019,AB de Villiers
2019,Dale Steyn
2019,Virat Kohli
2019,Umesh Yadav
2019,Tim Southee
2019,Yuzvendra Chahal
2019,Pawan Negi
2019,Gurkeerat Singh
2019,Nathan Coulter-Nile
2019,Milind Kumar
2019,Marcus Stoinis
2019,Akshdeep Nath
2019,Navdeep Saini
2019,Colin de Grandhomme
2019,Kulwant Khejroliya
2019,Washington Sundar
2019,Mohammed Siraj
2019,Moeen Ali
2019,Heinrich Klaasen
2019,Devdutt Padikkal
2019,Himmat Singh
2019,Prayas Ray Barman
2019,Shimron Hetmyer
2019,Shivam Dube
