Season,Rajasthan Royals
2019,Ajinkya Rahane
2019,Dhawal Kulkarni
2019,Jaydev Unadkat
2019,Varun Aaron
2019,Stuart Binny
2019,Steve Smith
2019,Manan Vohra
2019,Sanju Samson
2019,Shreyas Gopal
2019,Jos Buttler
2019,Shashank Singh
2019,Krishnappa Gowtham
2019,Ben Stokes
2019,Rahul Tripathi
2019,Aryaman Birla
2019,Ish Sodhi
2019,Jofra Archer
2019,Mahipal Lomror
2019,Prashant Chopra
2019,Sudhesan Midhun
2019,Ashton Turner
2019,Liam Livingstone
2019,Oshane Thomas
2019,Riyan Parag
2019,Shubham Ranjane
